,place_name,rating,review
60,National Museum of Ireland - Natural History,4.875,"My visit to the National Museum of Ireland - Natural History was an immersive journey into the captivating realm of the natural world. Nestled in Dublin, this museum, also known as the ""Dead Zoo,"" is a treasure trove of biodiversity, offering visitors a glimpse into the wonders of nature through its extensive collection of specimens.

As I stepped into the museum, I was greeted by the grandeur of its Victorian-era architecture, which exuded a sense of history and nostalgia. The building itself was a testament to the museum's rich heritage, providing a fitting backdrop for the awe-inspiring exhibits that awaited inside.

The museum's collection spans a wide range of natural history disciplines, including zoology, geology, and paleontology, with each gallery offering a unique perspective on the diversity of life on Earth. From towering skeletons of prehistoric giants to delicate taxidermy specimens of exotic birds and mammals, every corner of the museum was filled with wonders to behold.

One of the highlights of my visit was the museum's iconic ""Balcony of Beasts,"" where rows of glass cases displayed a menagerie of animals from around the world. From lions and tigers to elephants and giraffes, the lifelike dioramas offered a glimpse into the habitats and behaviors of these magnificent creatures.

Moreover, the museum's educational displays and interactive exhibits provided valuable insights into topics such as evolution, ecology, and conservation, making it an enriching experience for visitors of all ages. Whether it was learning about the geological history of Ireland or discovering the intricate adaptations of insects, there was always something new and fascinating to explore.

Overall, my visit to the National Museum of Ireland - Natural History was a truly memorable and enlightening experience. With its extensive collection, informative exhibits, and historic ambiance, this museum serves as a testament to the beauty and diversity of the natural world, inspiring wonder and curiosity in all who visit. Great place. Upstairs was closed for renovations but it was still good. Can be quite busy but lots to see and find out about. Built is the 1800's this building is full of curiosities, (stuffed creatures), that would have been incredibly popular in the victorian era, currently the top floor is closed, due to refurbishment, however, there is still lots to see. It is free and well worth a visit. Awesome Museum! Animals on the ground floor were very cool to learn about and where they may have previously roamed around Ireland. Giant deer skeletons were very epic.

Shame that the two upper floors are closed due to the roof being refurbished as it looks like they had some very impressive stuff up there. Although it sounds like it will be closed for a long time yet. What a surprising treasure! Full of faithfully preserved wildlife from birds, fish to foxes to wild Irish deer (enormous!!) and everything in between. And it's free! Love it! Even love it more after realizing the animals I saw were all real samples, which means that the ""dead zoo"" is legit!
Fancinatdd by some creatures such as the size of an eagle, some super huge fish, Irish giant deer etc.
it was an amazing experience, will definitely visit again  Unique Museum with a big virety of different animals from different habitats. Great for a day out with the children. Also was recently renovated, so the second floor was closed when visited. Small but very A visit to the National Museum of Ireland - Natural History is a truly enriching experience that I highly recommend to all nature lovers and history enthusiasts. From the moment you step inside, you are transported into a world of wonder and discovery.

The museum's impressive collection of natural specimens is both extensive and fascinating. From towering dinosaur skeletons to intricate insect displays, there is something to captivate visitors of all ages. The detailed exhibits are educational and engaging, providing a deeper understanding of the natural world and its biodiversity.

The museum itself is a beautiful architectural gem, with its grand Victorian-style building and intricate ironwork. The ambiance is peaceful and serene, allowing visitors to immerse themselves in the wonders of nature at their own pace.

Overall, the National Museum of Ireland - Natural History is a hidden gem that deserves to be explored and appreciated. It's a place where you can learn, marvel, and connect with the natural world in a meaningful way. Don't miss the opportunity to visit this treasure trove of natural history!"
61,National Museum of Ireland-Decorative Arts & History,4.5,"This museum has a very wide range, from silverware through historical clothes to furniture. I had a wonderful time wandering through these converted barracks, taking in the informative displays. And it's free to enter, too. Not exactly what I expected if i am being honest but it was quite peaceful and beautiful regardless. However I encountered a room full of mannequins and have never ran out so fast. Realized I had a phobia that day. They look absolutely realistic and creepy I couldn't even focus on the fashion.

Great museum overall though if you want a peaceful walkthrough A museum with free admission. The exhibition features very good artefacts. However, the display of these artefacts and in particular the lighting could be much better. Great place you need lots of time to look around properly, we'll worth a visit Free entrance check the website for updates before your visit

Large numbers of art crafts displayed

Quiet and beautiful you can spend couple of hours without being disturbed

Jewelry collection in display covers design, metals and timeline It is very nice and huge museum . It is a good museum and please take 1 entire day for this. They also have a small coffee van and a restaurant inside. A must visit! Very helpful staff, lovely curio shop that I returned to the next day to go buy a gift.

Only saw half the museum as our time was limited.
Beautiful exhibitions, curator's choice is a must-see and by far our favourite!

We loved the interactive exhibitions.
The information given was wonderful to read.

We will go back to see more. Nice place to know the history of Ireland. Beautiful and valuable collection."
62,O'Connell Monument,4.375,"The monument to Daniel O'Connell in Dublin is located in the very center.
The monument is dedicated to the legendary Irish politician.
The four winged women located near the monument represent patriotism, courage, eloquence and loyalty.
A very beautiful monument, impressive not only for its details, but also for the history of this famous person. This corner of the city ow lovely. It has some old buildings and nice architecture The O'Connell Monument, a towering tribute to Daniel O'Connell, is not just a statue; it's a powerful symbol of Ireland's struggle for independence and the enduring legacy of one of its most influential leaders. Daniel O'Connell, known as ""The Liberator,"" was a driving force behind the movement for Catholic emancipation and the repeal of discriminatory laws against Catholics in Ireland.

Designed by the esteemed sculptor John Henry Foley, the monument stands as a majestic landmark at the southern end of O'Connell Street, Dublin's principal thoroughfare. It was unveiled in 1882, years after O'Connell's death in 1847, as a fitting tribute to his tireless efforts to advance the cause of Irish freedom and equality.

The monument itself is a masterpiece of Victorian-era sculpture and architecture. At its pinnacle stands a commanding statue of Daniel O'Connell, depicted in a dignified pose, his outstretched hand gesturing toward the future. Surrounding him are four allegorical figures representing the virtues that defined his life and legacy: Patriotism, Fidelity, Courage, and Eloquence. These figures, crafted in bronze, serve as eternal guardians of O'Connell's vision and ideals.

The monument's Corinthian column, rising over 50 feet into the Dublin skyline, is adorned with intricate carvings and ornamental details, a testament to Foley's artistic skill and craftsmanship. At its base, four bronze winged victories hold laurel wreaths, symbolizing the triumph of justice and the enduring spirit of the Irish people.

Over the years, the O'Connell Monument has become more than just a statue; it's a place of pilgrimage, remembrance, and reflection for countless visitors from around the world. It stands as a reminder of the sacrifices made by those who fought for Irish independence and a beacon of hope for future generations.

As Dublin's most iconic landmark, the O'Connell Monument continues to inspire and unite the people of Ireland, reminding them of their shared history and the enduring values of freedom, justice, and equality for all. It remains a testament to Daniel O'Connell's indomitable spirit and his unwavering commitment to the cause of Irish liberation. I love all the monuments along the O'Connell street, making it feel like walking through the Irish history. An unmissable historical monument in Dublin (just by its dimensions already). Its sculptures all around are imposing. Regularly squatted by seagulls at its summit, you can enjoy it day and night Nice monument, must see in Dublin. Unfortunately, there are many drug addicts and criminals there, and one does not feel safe Wonderful monument to a great Irishman, great humanity and true Patriot."
63,Old Liffey Ferry,4.375,"A fantastic family day out, the tour guide is amazing and the water was so nice to sail on when we went. A really enjoyable alternative way to see Dublin, I can't wait to go again, really nice and helpful staff. Sailing is weather permitted, but we were lucky to get a mild day. Highly recommended Nice experience with family or friends to have. Amazing crew members with one of them giving a full history and background of the events that happened here. Perfect during summer holidays but not so pleasant during rainy days as there is no cover. But raincoats are provided on deck incase. Really enjoyed my tour today, even if the weather wasn't the best. Just dress appropriately, and you're set (wool under your raincoat keeps you dry and toasty).

Great to see Dublin from the water and to hear about this particular part of its history from Frank.

Ten out of ten, would recommend! I had a trip scheduled for June 14th at 2:30 pm they sent me an email a few hours before saying it was going to be postponed due to weather conditions and then a few hours later they cancelled it. I have asked for my refund since yesterday with no response at all Even though I have used all possible channels to contact them: IG, FB, telephone and e-mail. Also when I call the phone number that appears on their page I get a tone saying that number does not exist. Wry small very personal. Two get guys. Get a whole new look from the water. They even made my grandsons day.  By making him captain. And letting him take the wheel. Lose the crowds and take a slow ride and get some stories and knowledge of the dock area. Heads up your gps might take you to the wrong place. It's next to the big restaurant boat  Cill Airne. It was great tour along the river, with lots of facts about Dublin. 4 stars out of five because it was raining)) During my visit to Ireland myself and some family took part in the ferry and it was an amazing experience. Our guide Jimmy was very friendly and told us some great stories as well as sharing some of the history of Dublin. Would highly recommend the Old Liffey Ferry to anyone This was a great tour. The guide was local as was his father and grandfather and as a result he had so many local stories to tell as well as a great knowledge of the local history. As a Dubliner, this was a lovely new perspective of the city."
64,Ole Irlanda Tours,5.0,"A highly recommended company for a 12-hour excursion to Belfast from Dublin, very complete and enjoyable. The experience with Ole Irlanda Tours is amazing and you will learn a lot about the history and culture in Ireland. The guide tourist Agustina is very kind and always answer your questions, she knows a lot of about Ireland and she is outgoing and funny in your job :)
Thank you! Excursion to Giant's Causeway, Dunluce Castle and Belfast.
Although the journeys are long, the excursion was made enjoyable thanks to Anna, who spent much of the time on the bus explaining the politics, economy, history and curiosities of Ireland and Northern Ireland.
The visit to the castle is good because it has beautiful landscapes and completes the tour.
The stop at the Giant's Causeway lasted just enough time to walk around and see it well.
In Belfast it would take more time but the tour is still quite complete.
They let you eat on the bus. The excursion that Ole tours provided us was wonderful, the guide Ana was wonderful, she taught us everything and told us with passion about the people who love their work. The time in the castle and on the road was enough, if they added half an hour to Belfast at least it would be magnificent. Ana ran and made an effort to make sure everything was perfect. Congratulations to ole tours and Ana, who couldn't be a better guide!! Thank you. Highly recommended! We did 3 excursions and we are delighted.
The guides are very professional, both Sigfri on the route through the Giant's Causeway, Dunluce Castle and Belfast.
Mario in Galway and the Cliffs of Moher and Antonio in Glendalough and Wicklow.
Getting to know part of Ireland with Ole Ireland tours is wonderful. We did the excursion to Dunluce Castle, Giant's Causeway and Belfast with Sigfred and it was fantastic. One of the best guides we have had. He has a tremendous knowledge of Ireland and an exceptional way of telling it. An essential tour if you travel to Ireland, and if you are lucky enough to have Domingo as your guide, in addition to beautiful landscapes you will enjoy some very enriching stories and history of Ireland. The time is very well managed to enjoy many interesting things in the time it lasts. I suppose that if you go with other guides from ""Ole Ireland"" the trip will be just as enjoyable but I can only talk about Domingo, who was the one we had. An unforgettable experience, your guide, Domingo, taught us the history of a great island and its people. A first tour of the area where Game of Thrones was filmed, which despite not having seen it, filled us with passion with its great castles, mansions and routes within that enchanted forest. Congratulations!!! And thanks for helping us on other issues. And double everything in the recommendations."
65,Oscar Wilde House,4.375,"I was very pleasantly surprised by the interior of the house, its preservation, original furniture... Looking around the whole house seemed to bring me back to the life of O Wilde and his family. The house is toured independently, you can stay as long as you want. At the end, a film about Wilde's life is shown and the film leaves a very deep impression. I recommend the tour! too disappointed, the old rooms are transformed into classrooms, the rooms are empty. The information we are given is minimal and not very interesting. Some rooms are very beautiful (like the library) and make up for the visit a little. I don't recommend it if you have little time in Dublin. Lovely place to visit, and get a bit of the story behind Oscar Wilde - specially about his parents, strong characters of Dublin life. The house is beautiful, and if you have the chance, don't miss the guided tour on Saturdays. But the self-guided tour is also great, super recommended. Sadly no current access, due to the students' exam times, but just being at this building of one of the greatest literary giants is humbling enough. What a tragic and beautiful story, passionately narrated by Martin! I really enjoyed the guided tour of the house where Oscar Wilde grew up and spent many years of his life.

Some of the original belongings of the Wilde family are still in place (ie: a collection of books by Oscar and his parents, the Irish oak floorboards, neo-classical reliefs decorating the walls,and coloured windows). It is a different house visit compared to the norm - Oscar's family had to sell the house a long time ago, because despite the success Oscar's father ended up in misery (as well as Oscar himself).

The building is now home of the American College Dublin, with the guided tours about Oscar's life being managed by a registered charity. The funds raised from the house visits are used to cover the house restauration expenses.

I would definitely recommend the visit, the house is still a precious testimony of his life and also the director is so engaging in telling the family anecdotes besides having a wealth of knowledge on Oscar Wilde's incredible life. Really interesting tour, highly interesting to anyone who likes Wilde.
There is not much to see at the house itself, but the tour was 100% worth it. This was the Wilde family home where Oscar Wilde lived from infancy before moving to England - 1855 to 1878.

It is now occupied by the American College in Dublin.

Unfortunately when I was there us was closed so I wasn't able to go inside but I still took pictures from the outside and then visited his memorial statue across the street in the park. No-one can get inside, it is a private college. You see the house only from outside. You can have a look at the beautiful park at the other side and visit the statue."
66,Papal Cross,4.375,"Incredible view of a huge park. Nice for walks! It's like a large cross, but with history & meaning. Great parking and deer surrounding with walks and runs from here single and enjoyable A wonderful monument found at Phoenix Park. The park itself is amazing, but, this specific part of the park is a must visit place. With a large green field is welcoming for a walking. You may love the crows at early noon flying by these fields. Is really beautiful. Impressive view of the park from this high point and with luck you might spot a herd of deer. The cross of course, is a reminder of the papal visit and god's sacrifice for our salvation. I'm so sad.. I walked there during 1 hour and saw nothing. I searched up in the reviews before coming and none said that there's chances to don't see the deer. I saw many pictures of many deer at this place but I presume that they are not here after 5pm and when it's a little bit raining. The bike rent was closing when we arrive and didn't tell us that it's because we can't see anything at this hour. Majestic big steel cross standing at 35 meters erected in 1979 for the visit of pope John Paul II. Lovely big place to spend nice Sunday afternoon with family. You can ride a bike, play football with kids, chill and have a lunch, walk your dog. Beautiful views  from the cross level. Highly recommend this place! Lovely day out with the family.
Love the view on top , make sure to bring a picnic blanket for a lovely picnic day out after eating walk at the large greenfields at the back of the cross and you will see the wild deers .  Perfect for a picnic "
67,Parliament House,4.25,"The House of Lords is closed and you can just view the historic building from outside. The building is a bank now. It's not open to public anymore. The Old Irish Parliment built on College Green Dublin in 1729 by Sir Edward Lovett Pearce and James Gandon. It lasted for 70 years. The British parliment abolished the Dublin in 1800 and incorporated Ireland into the United  Kingdom. Since early 1800s it is a bank. The house of commons is gone but House of Lords still remains and is open to the public  Monday to Friday, 10am to 12 noon. Admisdion is free Interesting Parliament house with no windows. You know why? Because window is a sign of wealth and they've took them out to lower the price for this building. At first I thought this is the parliament of Republic of Ireland and I was wrong... It's now a part of Bank of Ireland and guess what the institution actually acquired it in 1803! Anyway, in case you wonder, the parliament in Irish is called Dail, and the place they meet is in Leinster House. Make no mistake. The name is deceiving : In the past - indeed Houses of Parliament, today - Bank of Ireland HQ.
The complex is centrally located right near the entrance to Trinity College. Interesting architecture and history (no windows?!) . Great as a meeting/starting point for your tour of this area of Dublin. Very cool to see and right at the heart of the city. Conveniently located next to trinity college this site lights up at night and there are many statues out front. Great place to see and good night life. I just passed by the Parliament. THe building look very big and attractive."
68,Parnell Monument,4.75,"The column is great and looks monumental, though it's not actually all that huge. Great monument.

""South face of obelisk has gilt inscription:
""TO CHARLES STEWART PARNELL/NO MAN HAS A RIGHT TO FIX THE/BOUNDARY TO THE MARCH OF A NATION/NO MAN HAS A RIGHT/TO SAY TO HIS COUNTRY/THUS FAR SHALL THOU/GO AND NO FURTHER/WE HAVE NEVER ATTEMPTED TO FIX/THE NE-PLUS-ULTRA/TO THE PROGRESS OF/IRELANDS NATIONHOOD/AND WE NEVER SHALL"" and ""Go soirbhighidh Dia/Eire da clainn"" in Clo Gaelach This monument is to Charles Parnell, the Irish Nationalist, whose legacy eventually lead to independence for Ireland.

The statue itself features Parnell standing, his right arm stretched out as if addressing a crowd, his left hand resting on a draped table. Behind him stands a 17 metre high obelisk with the words inscribed the words ""To Charles Stewart Parnell. No Man has a right to fix the boundary to the march of a nation. No man has a right to say to his country. Thus far shalt thou go and no further"".

The statue has a QR code which you can use to hear a speech made by Parnell. Great monument.

Another one of the monuments of O'Connell street is the statue of Charles Stewart Parnell, revered nationalist political leader. You'll find his monument sitting at the top of O'Connell Street, at the entrance to the square named in his honor. The monument features his famous words, ""No man has a right to fix the boundary to the march of a nation. To say to his country 'thus far shall thou go and no further.'"" It is commonly joked in Dublin that the statue was constructed to point in the direction of the Rotunda Hospital, which was once Dublin's main maternity hospital, the humor being that Parnell was encouraging the Irish Nation to out-breed their enemies. Monument located at the top of O'Connell Street and built in memory of one of Ireland greatest and most known politicians. It's at the top of O'Connell, if you use the Aircoach service (Stop Gresham Hotel/O'Connell Upper), or get on a bus tour, you might as well have a look.
Quite nice to look at at night and the streets aren't so busy then. This tall and beautiful monument (at the junction of Parnell and O'connell) commemorates Charles Stewart Parnell, one of the most important political figures in 19thCent. Ireland. Impressive. One of the historical monuments, free visit. Beautiful!"
69,Pat Liddy's Walking Tours,4.636363636363637,"Such a great walking tour of Dublin! It was the first thing I did when I got there. It really helped orient me to the city, and I learned so much about Irish history in the process! I have used Pat Liddy's Walking Tours for several years when visiting Dublin with my students. Every time we have the best guides! This week we had Fiona, who did an incredible job engaging students and telling stories that were profound and unforgettable, but still kept them quite interested.
Whether a solo traveler, family, or group, I can't recommend Pat Liddy's crew enough - from booking to walking, they go above and beyond.
(As a bonus, if you use them, you get 20% off at The Church restaurant which is a great Dublin experience as well!) I thought this would be a great way to see the sights in Dublin, because the reviews are overwhelmingly positive, but we didn't get to see much at all. Our tour guide was very nice, but she spent so much time talking and telling stories that we didn't have time to actually see anything. By the end of the 2.5 hours she was stopping on random street corners and pointing to where things were, rather than actually taking us to see them. We only saw 3-4 of the stops listed on the website. An overall very frustrating experience.

Updating my response based on my note below: I appreciate your response, Pat. I don't mean to argue. But I do believe I have fair reason to be upset with our experience. Because we did not see half the things you mentioned. I knew what we were supposed to see. But we spent 90 minutes of the 2.5-hour tour inside Dublin Castle, and most of that time was spent standing in one place hearing various stories and histories. Which was not uninteresting -- it just wasn't what we signed up for. We only saw Christ Church from across the street, because we were running low on time. We then did walk through Temple Bar, but our tour guide only pointed to where River Liffey was -- we never saw it or crossed any bridge. So we did not see the O'Connell Monument, the post office or anything on the North side of the city. And we never went past the Houses of Parliment or Trinity College. Our last stop on the tour was The Old Storehouse. After that, we were dropped back off at the Tree of Gold statue. I have no doubt these tours are typically great, based on all the positive reviews. And again, our tour guide was very nice. Had I not expected to see all the things you pointed out, I wouldn't have been as disappointed. But I expected to see a lot of things, and we skipped half that you listed. I hope in the future that our guide will be able to time things out better so that she can get to more of the stops promised on the website. We had a brilliant tour with Colm. Very knowledgeable and entertaining (songs, jokes, stories). Brilliant to hear the history, which is lesser known to us English, and not only see the major sights, but hear/see all the hidden stuff. Colm was brilliant, warm and friendly, and i loved the inclusion of a bit of sport. He even offered us up a couple reccomendations for the rest of our trip, which proved a hit. Highly recommended and hopefully you get Colm as your guide! Just Wow!  Incredibly interesting and well informed local guide Eoin brought the history of Dublin alive.  We thoroughly and unreservedly recommend this tour to anyone wanting an introduction to Dublin.  Tremendous value for money and great fun into the bargain.  What more could you ask Wonderful, wonderful experience! A perfect way to see and learn about the city. Our tour guide, Eoin, was nothing short of great. His knowledge, joy, and humor were infectious. We left the tour in love with Dublin,  highly recommend! Enjoyed an utterly splendid Walking Tour of North Inner City, Dublin on 31 January 2020. Blessed with glorious sunshine, the erudite Pat Liddy brought us on a great tour around this fascinating area,  recounting the history of the area, its regeneration (in parts), anecdotes. We were a group of 13 and we spent an exceptional, interesting, hugely informative two hours. Truly, walking about is the best way to appreciate any city. One would do this abroad, lovely to explore our own beautiful capital. Pat is a great author, with books to his name; he has been a newspaper columnist & is a talented artist too. In addition, a real gentleman. He does a wonderful range of Walks & has a fine website. Thank you, Pat. I loved our day out. Liam was an amazing tour guide!!  He was so knowledgeable about the architecture, history, and food eateries around Dublin. Would recommend for anyone visiting Dublin for the first time!! If you want a proper guided tour with someone who doesn't shout and carry on but has plenty of craic and knows his subject inside out then go on a Pat Liddy Walking Tour. The man is an absolute gent and is a veritable legend at this stage. What he doesn't know about Dublin is not worth knowing. Highly recommended - and then some. Brilliant tours. Remembered many years after. Highly recommended every time someone asks me what to do in Dublin nan"
70,Pearse Lyons Whiskey Distillery,5.0,"Explore one of the best distilleries Ireland in Dublin's liberty district. Inside an accurately restored church where you can sample Irish whiskey made the old way. Staff is friendly and knowledgeable. The tour was very insightful. Cannot recommend this whiskey distillery enough. It's based in a formerly working church, which is incredible. I bought my ticket ahead of time to guarantee a spot. You can choose a few types, which basically means how many whiskeys you would like to try. I did 5 and it was a good amount. One of them was actually a gin. The tour was very informative and at the end is a very nice gift shop. Decent prices for whiskey I think. Friendly staff. Very nice tour of the distillery with an amazing and varied selection of tastings. I particularly enjoyed the more history focused aspect of the tour. Had an amazing time.

Edit: also did the gin class today and it was amazing. It was both interesting and fun. Plus the guide was very informative and it was overall a great experience as well. A unique experience of a distillery tour, but within a repurposed church. I booked onto this last minute after finding it a stone's throw away from the Guinness Storehouse and I'm glad I did! John our tour guide was knowledgeable, passionate and humourous, taking us on the journey of the church that now is a distillery. I loved hearing about the past (which appeased the history buff in me), present and future on a fast pace yet relaxed tour, that culminated with drinking whiskey (and gin) where the pews would have been in the church. I booked the legacy tour, which was cracking and gave an insight into to most of their offer. The attention to detail in the design within the church is a testament to the love, sweat and tears that has gone into this exciting concept. Definitely worthwhile! BEST DISTILLERY!!!!!!!! We visited several beer breweries and whiskey distilleries and this was BY FAR the best. I would highly recommend this tour above any other. Other places such as Guinness can handle a lot of people but this one was the most informative and best experience! We booked a tour online had no wait time. Our tour guide JOHN was phenomenal. Very professional, personable and friendly. John is very knowledgeable and provided a riveting tour on the history of the land, church, and whiskey. Although I had been to other tours and museums I did not fully understand the process behind distilling. John explained it in such a way that it clicked for me and it was just a valuable tour. I absolutely loved the added history of the location of the graveyard. He even added historical context of other distilleries, monuments and historical figures. The church in which the distillery is absolutely breathtaking. Also...the whiskey was very good. I throughly enjoyed the tasting and discussing the flavors and experiences elicited. We also added drops of water to the whiskey which was so fun to experiment with. 10 out of 10 would recommend the tour with John. It was certainly one of the most enjoyable moments in Dublin. I now feel so much more educated in whiskey, gin and the Pearse company. I look forward to experiencing more of Pearse whiskey.
Thanks John! We really enjoyed the distillery tour!! Having done a few gin distillery tours in Ireland, this was my first whiskey one, and it was excellent. Hubert, the host, was outstanding and very knowledgeable. Learnt a lot about Irish whiskey. The tastings were fantastic as well. This is a beautifully restored old abandoned church.  The Pearse did a great job restoring the church and converting it to a family owned distillery.   It now has a visitors center and a tasting tour of its whiskey and gin.  The tour was good with a historic explanation of the important ties of the St James Church to the Pearse family. Great experience at the Pearse Lyons Distillery! Was lucky enough to score a private tour with Bernard and tasting with Sebastian. The tour was a great blend of history as well as interesting insight into the whiskey making process along side generous tastings - highly recommend."
71,Phoenix Park,4.875,"I went to Phoenix Park on a sunny day, and everything was beautiful! The park is huge, with plenty of space for walking and running. Lots of families with children and people of all ages. The deer are one of the main attractions; they are used to people, so you can get really close. I also loved the organic garden; I wish I had one like that in my backyard, haha. Largest park in a European city that is great for playing, enjoying, walking, biking and spotting deer and various birds. It also have a a zoo, the President's house, papal cross, flower garden and other things as well. Strongly recommend.

I loved the park and felt it was very well designed as there is a clear straight road the cars could take making it easier to go to each part of the park. There is also a public bus that goes through the park in case you don't have a car.

You can also easily play games in the park grounds. Nice place to have a walk and enjoy the nature. There are several tracks to walk so you can choose which routes you want to take.

As the park is huge, it doesn't get crowded. Along the way there are some benches to sit and relax under the sun.

I was lucky to see some deers resting and eating around the park.

Definitely will go back when in Dublin. Very very large park! We had come to find the deer. We wandered in vain for more than an hour when suddenly when we decided to leave we came across them  very beautiful park in any case especially at this time of year! Beautiful 
So peaceful and yet full of life at the same time.
Families, runners, and people walking their dogs.
Parking at certain spots.
Lots to do and see, quite a big park. This is a fantastic amenity. A wonderful green space within the city of Dublin.A meditation haven.Sports a fine herd of deer,so I am told..but no luck for me. It has many pathways  both hard and soft underfoot. Perfect for indulging in outdoor activities ,e.g walking,jogging etc,.It houses Dublin  Zoo, The American Ambassador's residence,sports areas,children play area, among others. Has monuments,sculptures and the  Papal Cross. We'll worth a visit in any season. Incredible and huge Phoenix Park, located in Ireland.
We were here last year in the summer.  This is a must visit place.
But I warn you right away, you need to walk a lot here). You can also rent bicycles at the gate.
As soon as you enter the park, you see many different trees, shrubs and flowers.  Somewhere in the middle of the park there are already large green meadows where you can relax and enjoy the views of various historical monuments.
There is a zoo, a cricket club and various cafes. The park is very large, so it will take more than one day to explore everything. My friends and I purposefully walked to a clearing with deer, many said that we might be unlucky and there wouldn't be any, we wandered for a very long time and finally found it.
It was simply an unforgettable and fabulous moment. We saw a herd of deer roaming freely. We were able to pet them and feed them.
It was the most amazing walk through probably the largest park in Europe. Highly recommend visiting for a breezy walk, to have deep conversations, or just lay back looking at the sky and bird watching. I'm positive there used to be more trees, sad that they're minimal atleast where we walked."
72,Phoenix Park Visitor Centre,4.5,"Love this area, very good for given your dog a good run around. Most dogs off the leash which is really good to see, as I'd prefer my dog off her lead. Coffee places close by too. Nice and peaceful especially when the weather is bad, not a single person around  The visitor centre has a two storey exhibition detailing the history of the park over the last five centuries. It's free to visit.
The centre also has a cafe with indoor and outdoor seating and a large car park. It's next to the walled Victorian garden, which is also worth a visit and is also free. We were pleasantly surprised by this small but proud and informative exhibition. Some interesting info about this area and park. Well worth a visit if you're in the area.
Find out about the historical past and local information. Nice food and drinks area as well. Staff very helpful Amazing Personal and a cute exhibition bout the history of Phoenix Park. The tour of the castle is really worth it. But it is really cold in there so bring a jacket. Great centre, good food, ice cream. Very busy, too crowded at the weekend - be aware. With the Ashtown castle and Victorian style kitchen garden, with a maize park it is perfect for families with kids. For a nice sunny day outside with lots of dog walkers,perfect walk. Very huge park,fun for outdoors activities What a fantastic experience especially seeing the deer and cute little hole in the wall pub , recommend taking the family especially on a sunny day"
73,Raconte-moi l'Irlande,5.0,"A tour guided by Aurelie, who is French by birth and Irish at heart. Introduced us to the city and history of Dublin. She answers all the questions. A big thank you to her for sharing her city. We visited Dublin this morning with Aurelie. We highly recommend it, it was a great experience! We were in Ireland for a weekend and Aurelie allowed us to discover places that we would not have been able to visit on our own. She listened and answered all our questions. We feel the love of Ireland when it tells History  How lucky I was to come across your opinions about Aurelie. Thanks to this I trusted and we were truly delighted. There were 10 of us listening to him introduce us to his adopted city. At home in the North of France we know how to recognize real people, those who speak from the heart. And Aurelie won us all over unanimously. Thank you !! Looking forward to the second visit on Saturday  (secret and confidential visit). Visit made Tuesday morning with my 2 teenagers, Aurelie knew how to make this visit lively and interesting for everyone. In 2.5 hours, she introduced us to pieces of Irish history through its essential sites. Anecdotes, good addresses, we feel that Aurelie loves Dublin and we don't see the time passing.
We will be happy to meet her again for a visit to Howth on Friday morning! We made 2 visits with Aurelie during our stay in Ireland. We loved and learned a lot about the city of Dublin. Aurelie tells us with passion the history and secrets of her favorite city. A must-do during your stay!!! A visit perfectly suited to our wish to discover Dublin during a short stay.
Aurelie gave us information throughout the visit and wise advice to continue our stay.
We will call on her again for a future visit. If you want to know the main sites to see with clear explanations, you are in the right place! Aurelie showed us around Dublin during a great 2.5 hour walk. We have more about Ireland and its history. I highly recommend. A real, friendly, no-frills discovery! Aurelie loves Dublin and Ireland and shares her passion with us! To do without hesitation when arriving in Dublin."
